plate	well	clone_id	measure_env	evolution_env	replicate	lagtime	max_growth_death_rate	time_to_stationary
A1_1	A1	1	bact	bact	D	06:58:57	2.64E-03	09:33:14
A1_1	B1	2	bact	bact	D	15:51:36	7.62E-04	22:54:17
A1_1	C1	3	bact	bact	D	06:56:20	2.44E-03	10:28:32
A1_1	D1	4	bact	bact	D	06:43:34	2.26E-03	10:00:28
A1_1	E1	5	bact	bact	D	13:23:17	-6.80E-03	11:21:32
A1_1	F1	6	bact	bact	D	06:10:08	2.59E-03	09:35:56
A1_1	G1	7	bact	bact	D	06:23:20	2.18E-03	09:40:20
A1_1	H1	8	bact	bact	D	06:49:39	1.13E-03	12:13:21
A1_1	A2	9	bact	bact	D	03:31:10	-3.07E-06	05:13:11
A1_1	B2	10	bact	bact	D	05:57:52	1.06E-03	11:51:13
A1_1	C2	11	bact	bact	D	16:07:59	6.99E-04	22:54:59
A1_1	D2	12	bact	bact	D	06:15:04	1.21E-03	10:22:19
A1_1	E2	13	bact	bact	D	06:03:11	1.01E-03	12:27:01
A1_1	F2	14	bact	bact	D	23:49:23	-2.09E-03	19:19:54
A1_1	G2	15	bact	bact	D	14:57:34	6.69E-04	22:08:18
A1_1	H2	16	bact	bact	D	11:21:47	6.07E-04	16:56:53
A1_1	A3	17	bact	bact	D	06:19:27	1.13E-03	11:49:03
A1_1	B3	18	bact	bact	D	06:39:59	1.07E-03	12:24:48
A1_1	C3	19	bact	bact	D	09:44:21	6.48E-03	11:57:05
A1_1	D3	20	bact	bact	D	06:03:57	1.27E-03	10:43:26
A1_1	E3	21	bact	bact	D	06:28:08	1.03E-03	12:22:47
A1_1	F3	22	bact	bact	D	06:01:43	1.07E-03	11:52:37
A1_1	G3	23	bact	bact	D	06:14:06	9.99E-04	12:17:55
A1_1	H3	24	bact	bact	D	22:23:48	5.35E-04	04:51:05
A1_1	A4	25	bact	bact	D	11:06:33	5.90E-04	17:50:43
A1_1	B4	26	bact	bact	D	10:40:24	5.21E-04	18:05:59
A1_1	C4	27	bact	bact	D	06:40:23	1.06E-03	12:58:00
A1_1	D4	28	bact	bact	D	17:53:13	7.73E-04	01:05:57
A1_1	E4	29	bact	bact	D	06:09:30	9.97E-04	12:33:45
A1_1	F4	30	bact	bact	D	07:00:04	1.01E-03	13:15:24
A1_1	G4	31	bact	bact	D	06:28:31	1.08E-03	12:36:27
A1_1	H4	32	bact	bact	D	06:43:09	9.76E-04	12:58:29
A1_1	A5	1	bact	bact_pred	C	06:05:33	1.28E-03	10:13:49
A1_1	B5	2	bact	bact_pred	C	09:07:31	4.79E-04	18:20:13
A1_1	C5	3	bact	bact_pred	C	06:10:37	1.27E-03	10:08:03
A1_1	D5	4	bact	bact_pred	C	11:18:24	7.62E-04	18:13:40
A1_1	E5	5	bact	bact_pred	C	06:32:14	1.00E-03	12:27:01
A1_1	F5	6	bact	bact_pred	C	06:42:55	1.26E-03	10:52:09
A1_1	G5	7	bact	bact_pred	C	12:53:20	9.06E-04	17:55:49
A1_1	H5	8	bact	bact_pred	C	06:18:18	1.36E-03	10:03:59
A1_1	A6	9	bact	bact_pred	C	06:04:57	1.31E-03	10:11:33
A1_1	B6	10	bact	bact_pred	C	12:18:35	6.19E-04	19:51:55
A1_1	C6	11	bact	bact_pred	C	12:00:33	8.45E-04	17:51:39
A1_1	D6	12	bact	bact_pred	C	11:29:51	7.48E-04	18:25:28
A1_1	E6	13	bact	bact_pred	C	11:34:36	7.93E-04	17:54:27
A1_1	F6	14	bact	bact_pred	C	17:37:02	7.70E-04	01:36:47
A1_1	G6	15	bact	bact_pred	C	09:04:10	6.57E-04	16:16:32
A1_1	H6	16	bact	bact_pred	C	06:07:23	1.33E-03	10:22:54
A1_1	A7	17	bact	bact_pred	C	11:40:39	7.88E-04	18:03:03
A1_1	B7	18	bact	bact_pred	C	11:09:58	7.50E-04	18:17:44
A1_1	C7	19	bact	bact_pred	C	11:16:51	7.84E-04	17:48:34
A1_1	D7	20	bact	bact_pred	C	11:34:04	1.05E-03	15:18:33
