measure_env	evolution_env	replicate	transfer	ciliate_per_ml
bact_pred	anc	A	1	6355
bact_pred	anc	B	1	3766
bact_pred	anc	C	1	3060
bact_pred	anc	D	1	5414
bact_pred	anc	E	1	3295
bact_pred	anc	F	1	6355
bact_pred	bact	A	1	8709
bact_pred	bact	B	1	5884
bact_pred	bact	C	1	13417
bact_pred	bact	D	1	8238
bact_pred	bact	E	1	13417
bact_pred	bact	F	1	5884
bact_pred	bact_strep	A	1	8474
bact_pred	bact_strep	B	1	6826
bact_pred	bact_strep	C	1	13181
bact_pred	bact_strep	D	1	6591
bact_pred	bact_strep	E	1	7532
bact_pred	bact_strep	F	1	13181
bact_pred	bact_pred	A	1	7532
bact_pred	bact_pred	B	1	8238
bact_pred	bact_pred	C	1	9886
bact_pred	bact_pred	D	1	6355
bact_pred	bact_pred	E	1	6591
bact_pred	bact_pred	F	1	11769
bact_pred	bact_pred_strep	A	1	6355
bact_pred	bact_pred_strep	B	1	5649
bact_pred	bact_pred_strep	C	1	5649
bact_pred	bact_pred_strep	D	1	5649
bact_pred	bact_pred_strep	E	1	6355
bact_pred	bact_pred_strep	F	1	4237
bact_pred_strep	anc	A	1	3295
bact_pred_strep	anc	B	1	6355
bact_pred_strep	anc	C	1	6120
bact_pred_strep	anc	D	1	4001
bact_pred_strep	anc	E	1	4943
bact_pred_strep	anc	F	1	4237
bact_pred_strep	bact	A	1	7532
bact_pred_strep	bact	B	1	9651
bact_pred_strep	bact	C	1	9180
bact_pred_strep	bact	D	1	6355
bact_pred_strep	bact	E	1	9886
bact_pred_strep	bact	F	1	7297
bact_pred_strep	bact_strep	A	1	7532
bact_pred_strep	bact_strep	B	1	8003
bact_pred_strep	bact_strep	C	1	10592
bact_pred_strep	bact_strep	D	1	5178
bact_pred_strep	bact_strep	E	1	7532
bact_pred_strep	bact_strep	F	1	9651
bact_pred_strep	bact_pred	A	1	6826
bact_pred_strep	bact_pred	B	1	9415
bact_pred_strep	bact_pred	C	1	8944
bact_pred_strep	bact_pred	D	1	9886
bact_pred_strep	bact_pred	E	1	6826
bact_pred_strep	bact_pred	F	1	9180
bact_pred_strep	bact_pred_strep	A	1	5414
bact_pred_strep	bact_pred_strep	B	1	5178
bact_pred_strep	bact_pred_strep	C	1	7532
bact_pred_strep	bact_pred_strep	D	1	7297
bact_pred_strep	bact_pred_strep	E	1	5884
bact_pred_strep	bact_pred_strep	F	1	6120
bact_pred	anc	A	2	3766
bact_pred	anc	B	2	6120
bact_pred	anc	C	2	13417
bact_pred	anc	D	2	4472
bact_pred	anc	E	2	4001
bact_pred	anc	F	2	5884
bact_pred	bact	A	2	3295
bact_pred	bact	B	2	3060
bact_pred	bact	C	2	4472
bact_pred	bact	D	2	4237
bact_pred	bact	E	2	3531
bact_pred	bact	F	2	8709
bact_pred	bact_strep	A	2	4001
bact_pred	bact_strep	B	2	5178
bact_pred	bact_strep	C	2	7768
bact_pred	bact_strep	D	2	3060
bact_pred	bact_strep	E	2	7768
bact_pred	bact_strep	F	2	18360
bact_pred	bact_pred	A	2	2825
bact_pred	bact_pred	B	2	1412
bact_pred	bact_pred	C	2	4237
bact_pred	bact_pred	D	2	4943
bact_pred	bact_pred	E	2	2589
bact_pred	bact_pred	F	2	6591
bact_pred	bact_pred_strep	A	2	9886
bact_pred	bact_pred_strep	B	2	3295
bact_pred	bact_pred_strep	C	2	1648
bact_pred	bact_pred_strep	D	2	3295
