plate	well	type
A1_1	C3	exclude
A1_1	E1	exclude
A7_1	C2	exclude
A8_1	D8	exclude
A8_1	E11	exclude
A8_1	E12	exclude
A8_1	G4	exclude
A8_1	G11	exclude
A1_2	A7	exclude
A1_2	B5	exclude
A1_2	B6	exclude
A1_2	B7	exclude
A1_2	B9	exclude
A1_2	B11	exclude
A1_2	C3	exclude
A1_2	C6	exclude
A1_2	C7	exclude
A1_2	C10	exclude
A1_2	D5	exclude
A1_2	D6	exclude
A1_2	E1	exclude
A1_2	E5	exclude
A1_2	E6	exclude
A1_2	F8	exclude
A1_2	F11	exclude
A1_2	F12	exclude
A1_2	G5	exclude
A1_2	G6	exclude
A1_2	G10	exclude
A1_2	H1	exclude
A2_2	A2	exclude
A2_2	B1	exclude
A2_2	B2	exclude
A2_2	B4	exclude
A2_2	B9	exclude
A2_2	C1	exclude
A2_2	C2	exclude
A2_2	C3	exclude
A2_2	C4	exclude
A2_2	C8	exclude
A2_2	D1	exclude
A2_2	D2	exclude
A2_2	D3	exclude
A2_2	D4	exclude
A2_2	E1	exclude
A2_2	E2	exclude
A2_2	E3	exclude
A2_2	E5	exclude
A2_2	E6	exclude
A2_2	E8	exclude
A2_2	E12	exclude
A2_2	F1	exclude
A2_2	F2	exclude
A2_2	G2	exclude
A2_2	G3	exclude
A2_2	G8	exclude
A2_2	H2	exclude
A2_2	H3	exclude
A2_2	H4	exclude
A2_2	H6	exclude
A2_2	H7	exclude
A3_2	A8	exclude
A3_2	B5	exclude
A3_2	B8	exclude
A3_2	C6	exclude
A3_2	C8	exclude
A3_2	D6	exclude
A3_2	E5	exclude
A3_2	E7	exclude
A3_2	F5	exclude
A3_2	F7	exclude
A3_2	G7	exclude
A3_2	H1	exclude
A3_2	H11	exclude
A4_2	A1	exclude
A4_2	A3	exclude
A4_2	D4	exclude
A4_2	F1	exclude
A5_2	A8	exclude
A5_2	A10	exclude
A5_2	E9	exclude
A5_2	F2	exclude
A5_2	H8	exclude
A6_2	A12	exclude
A6_2	D11	exclude
A6_2	E9	exclude
A6_2	E11	exclude
A6_2	G11	exclude
A6_2	G12	exclude
A7_2	C2	exclude
A8_2	A7	exclude
A8_2	E10	exclude
A8_2	E11	exclude
A8_2	E12	exclude
A8_2	G11	exclude
A1_3	C11	exclude
A2_3	C8	exclude
A3_3	A11	exclude
A3_3	A12	exclude
A3_3	B9	exclude
A5_3	F1	exclude
A6_3	A11	exclude
A6_3	B10	exclude
A6_3	C11	exclude
A6_3	E3	exclude
A6_3	F2	exclude
A6_3	G10	exclude
A1_4	A3	exclude
A1_4	A7	exclude
A1_4	B5	exclude
A1_4	B6	exclude
A1_4	B7	exclude
A1_4	B9	exclude
A1_4	B11	exclude
A1_4	A12	exclude
A1_4	C2	exclude
A1_4	C6	exclude
A1_4	C7	exclude
A1_4	C9	exclude
A1_4	C10	exclude
A1_4	C11	exclude
A1_4	C12	exclude
A1_4	D5	exclude
A1_4	D6	exclude
A1_4	D9	exclude
A1_4	E6	exclude
A1_4	E10	exclude
A1_4	F11	exclude
A1_4	G5	exclude
A1_4	G6	exclude
A1_4	G10	exclude
A1_4	H10	exclude
A2_4	A1	exclude
A2_4	A3	exclude
A2_4	A5	exclude
A2_4	B1	exclude
A2_4	B2	exclude
A2_4	B3	exclude
A2_4	B4	exclude
A2_4	B9	exclude
A2_4	C3	exclude
A2_4	C4	exclude
A2_4	C9	exclude
A2_4	D4	exclude
A2_4	D7	exclude
A2_4	E3	exclude
A2_4	E12	exclude
A2_4	F2	exclude
A2_4	F3	exclude
A2_4	F8	exclude
A2_4	G2	exclude
A2_4	G3	exclude
A2_4	G4	exclude
A2_4	H2	exclude
A2_4	H7	exclude
A2_4	H12	exclude
A3_4	A12	exclude
A3_4	B11	exclude
A3_4	C10	exclude
A3_4	C12	exclude
A4_4	A1	exclude
A4_4	A3	exclude
A4_4	A4	exclude
A4_4	B8	exclude
A4_4	C1	exclude
A4_4	C2	exclude
A4_4	C3	exclude
A4_4	D2	exclude
A4_4	D3	exclude
A4_4	D4	exclude
A4_4	E3	exclude
A4_4	E4	exclude
A4_4	F1	exclude
A4_4	G3	exclude
A4_4	G4	exclude
A4_4	G12	exclude
A4_4	H3	exclude
A4_4	H4	exclude
A4_4	H7	exclude
A5_4	A1	exclude
A5_4	A9	exclude
A5_4	A10	exclude
A5_4	A11	exclude
A5_4	A12	exclude
A5_4	B1	exclude
A5_4	B2	exclude
A5_4	B10	exclude
A5_4	B11	exclude
A5_4	B12	exclude
A5_4	C2	exclude
A5_4	C4	exclude
A5_4	C9	exclude
A5_4	C10	exclude
A5_4	C12	exclude
A5_4	D1	exclude
A5_4	D4	exclude
A5_4	D10	exclude
A5_4	D12	exclude
A5_4	E1	exclude
A5_4	E2	exclude
A5_4	E10	exclude
A5_4	E11	exclude
A5_4	E12	exclude
A5_4	F9	exclude
A5_4	F11	exclude
A5_4	G9	exclude
A5_4	G10	exclude
A5_4	H3	exclude
A5_4	H9	exclude
A5_4	H10	exclude
A6_4	B5	exclude
A6_4	B7	exclude
A6_4	C5	exclude
A6_4	C6	exclude
A6_4	C7	exclude
A6_4	D5	exclude
A6_4	D8	exclude
A6_4	E8	exclude
A6_4	F6	exclude
A6_4	F7	exclude
A6_4	G6	exclude
A6_4	G8	exclude
A6_4	H6	exclude
A6_4	E3	exclude
A8_4	D8	exclude
A8_4	D9	exclude
A8_4	E3	exclude
A8_4	F3	exclude
