measure_env	evolution_env	replicate	transfer	od600
bact	bact	A	1	0.14
bact	bact	B	1	0.133
bact	bact	C	1	0.116
bact	bact	D	1	0.113
bact	bact	E	1	0.122
bact	bact	F	1	0.11
bact	bact_strep	A	1	0.136
bact	bact_strep	B	1	0.133
bact	bact_strep	C	1	0.127
bact	bact_strep	D	1	0.106
bact	bact_strep	E	1	0.136
bact	bact_strep	F	1	0.11
bact	anc	A	1	0.097
bact	anc	B	1	0.116
bact	anc	C	1	0.108
bact	anc	D	1	0.095
bact	anc	E	1	0.092
bact	anc	F	1	0.091
bact_strep	bact	A	1	0.107
bact_strep	bact	B	1	0.178
bact_strep	bact	C	1	0.131
bact_strep	bact	D	1	0.173
bact_strep	bact	E	1	0.169
bact_strep	bact	F	1	0.116
bact_strep	bact_strep	A	1	0.126
bact_strep	bact_strep	B	1	0.13
bact_strep	bact_strep	C	1	0.126
bact_strep	bact_strep	D	1	0.103
bact_strep	bact_strep	E	1	0.118
bact_strep	bact_strep	F	1	0.13
bact_strep	anc	A	1	0.086
bact_strep	anc	B	1	0.095
bact_strep	anc	C	1	0.11
bact_strep	anc	D	1	0.097
bact_strep	anc	E	1	0.089
bact_strep	anc	F	1	0.082
bact	bact	A	2	0.108
bact	bact	B	2	0.107
bact	bact	C	2	0.102
bact	bact	D	2	0.104
bact	bact	E	2	0.11
bact	bact	F	2	0.107
bact	bact_strep	A	2	0.097
bact	bact_strep	B	2	0.103
bact	bact_strep	C	2	0.099
bact	bact_strep	D	2	0.096
bact	bact_strep	E	2	0.112
bact	bact_strep	F	2	0.094
bact	anc	A	2	0.101
bact	anc	B	2	0.093
bact	anc	C	2	0.099
bact	anc	D	2	0.1
bact	anc	E	2	0.102
bact	anc	F	2	0.103
bact_strep	bact	A	2	0.102
bact_strep	bact	B	2	0.106
bact_strep	bact	C	2	0.1
bact_strep	bact	D	2	0.097
bact_strep	bact	E	2	0.102
bact_strep	bact	F	2	0.099
bact_strep	bact_strep	A	2	0.094
bact_strep	bact_strep	B	2	0.102
bact_strep	bact_strep	C	2	0.107
bact_strep	bact_strep	D	2	0.098
