plate	well	type
A1_1	A2	exclude
A1_1	C3	exclude
A1_1	C11	exclude
A1_1	E1	exclude
A1_1	G8	exclude
A1_1	H8	exclude
A2_1	C1	exclude
A2_1	G6	exclude
A3_1	A12	exclude
A3_1	B9	exclude
A3_1	B12	exclude
A3_1	H10	exclude
A4_1	A8	exclude
A4_1	B7	exclude
A4_1	C7	exclude
A4_1	D7	exclude
A4_1	E5	exclude
A4_1	F2	exclude
A4_1	G6	exclude
A5_1	C1	exclude
A5_1	B4	exclude
A5_1	E9	exclude
A6_1	E1	exclude
A6_1	F1	exclude
A6_1	G1	exclude
A6_1	H4	exclude
A7_1	C2	exclude
A7_1	F5	exclude
A7_1	F8	exclude
A7_1	G7	exclude
A8_1	A7	exclude
A8_1	A10	exclude
A8_1	A12	exclude
A8_1	B11	exclude
A8_1	C11	exclude
A8_1	C12	exclude
A8_1	E6	exclude
A8_1	F11	exclude
A8_1	F9	exclude
A8_1	G9	exclude
A8_1	G12	exclude
A8_1	H10	exclude
A8_1	H11	exclude
A8_1	D8	exclude
A8_1	E11	exclude
A8_1	E12	exclude
A8_1	G4	exclude
A8_1	G11	exclude
A1_3	C11	exclude
A2_3	C8	exclude
A3_3	A11	exclude
A3_3	A12	exclude
A3_3	B9	exclude
A4_3	E8	exclude
A5_3	F1	exclude
A6_3	A11	exclude
A6_3	B10	exclude
A6_3	C11	exclude
A6_3	E3	exclude
A6_3	F2	exclude
A7_3	C2	exclude
A7_3	F4	exclude
A8_3	A2	exclude
A8_3	D1	exclude
A8_3	H8	exclude
