measure_env	evolution_env	replicate	transfer	od600
bact	bact	A	1	0.14
bact	bact	B	1	0.133
bact	bact	C	1	0.116
bact	bact	D	1	0.113
bact	bact	E	1	0.122
bact	bact	F	1	0.11
bact	bact_pred	A	1	0.147
bact	bact_pred	B	1	0.139
bact	bact_pred	C	1	0.111
bact	bact_pred	D	1	0.099
bact	bact_pred	E	1	0.057
bact	bact_pred	F	1	0.23
bact	bact_strep	A	1	0.136
bact	bact_strep	B	1	0.133
bact	bact_strep	C	1	0.127
bact	bact_strep	D	1	0.106
bact	bact_strep	E	1	0.136
bact	bact_strep	F	1	0.11
bact	bact_pred_strep	A	1	0.248
bact	bact_pred_strep	B	1	0.115
bact	bact_pred_strep	C	1	0.097
bact	bact_pred_strep	D	1	0.164
bact	bact_pred_strep	E	1	0.122
bact	bact_pred_strep	F	1	0.134
bact	anc	A	1	0.097
bact	anc	B	1	0.116
bact	anc	C	1	0.108
bact	anc	D	1	0.095
bact	anc	E	1	0.092
bact	anc	F	1	0.091
bact_pred	bact	A	1	0.073
bact_pred	bact	B	1	0.071
bact_pred	bact	C	1	0.057
bact_pred	bact	D	1	0.057
bact_pred	bact	E	1	0.054
bact_pred	bact	F	1	0.051
bact_pred	bact_pred	A	1	0.098
bact_pred	bact_pred	B	1	0.073
bact_pred	bact_pred	C	1	0.054
bact_pred	bact_pred	D	1	0.052
bact_pred	bact_pred	E	1	0.06
bact_pred	bact_pred	F	1	0.074
bact_pred	bact_strep	A	1	0.059
bact_pred	bact_strep	B	1	0.056
bact_pred	bact_strep	C	1	0.055
bact_pred	bact_strep	D	1	0.05
bact_pred	bact_strep	E	1	0.048
bact_pred	bact_strep	F	1	0.051
bact_pred	bact_pred_strep	A	1	0.154
bact_pred	bact_pred_strep	B	1	0.069
bact_pred	bact_pred_strep	C	1	0.064
bact_pred	bact_pred_strep	D	1	0.076
bact_pred	bact_pred_strep	E	1	0.08
bact_pred	bact_pred_strep	F	1	0.083
bact_pred	anc	A	1	0.06
bact_pred	anc	B	1	0.052
bact_pred	anc	C	1	0.054
bact_pred	anc	D	1	0.051
